OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: abc' + abc + a'b'c + a'bc'?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: ab'c' + a'b'c' + a'bc' + a'b'c?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,1,<p>m<sub>4</sub></p>,HTML
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'bc + abc' + a'b'c' + a'b'c?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'bc' + ab'c'?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'bc + abc'?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: abc' + a'bc + a'b'c'?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'b'c + abc + ab'c + a'b'c'?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,1,<p>m<sub>5</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'b'c' + a'bc?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: ab'c' + a'bc' + a'b'c'?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,1,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: abc' + a'bc'?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'b'c' + ab'c + abc' + a'b'c?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,1,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,1,<p>m<sub>1</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: ab'c' + abc?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,1,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'b'c' + ab'c' + a'bc' + a'bc?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'bc' + ab'c' + abc'?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,1,<p>m<sub>4</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'bc' + ab'c'?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: abc' + abc?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: ab'c + abc'?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: ab'c + a'bc + abc?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,1,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: abc + a'bc' + ab'c?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'bc + abc + a'b'c' + a'b'c?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: abc + ab'c?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,1,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: ab'c' + a'b'c' + abc' + a'b'c?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML
OPTION,1,<p>m<sub>4</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'b'c' + a'b'c?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: abc + a'bc' + a'b'c' + a'bc?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: abc' + a'b'c' + a'b'c + a'bc?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'b'c + ab'c' + a'b'c' + a'bc?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,1,<p>m<sub>4</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'bc' + a'b'c + abc?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'b'c' + ab'c?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: ab'c + abc + a'b'c + a'bc?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'bc + abc' + ab'c + abc?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'b'c + a'bc + abc' + ab'c?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'b'c + a'b'c'?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,0,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,1,<p>m<sub>0</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: abc' + a'bc' + a'bc?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'bc' + a'b'c + abc?,NOT HTML
Points,10
Difficulty,1
OPTION,1,<p>m<sub>1</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,1,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: abc' + a'bc' + a'bc?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,1,<p>m<sub>6</sub></p>,HTML
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,1,<p>m<sub>3</sub></p>,HTML
OPTION,0,<p>m<sub>4</sub></p>,HTML
OPTION,0,<p>m<sub>1</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML


NewQuestion,MS
Title,Select_minterm_from_Canonical_SOP
QuestionText,Which of the following are minterms of the expression: a'b'c + a'bc'?,NOT HTML
Points,10
Difficulty,1
OPTION,0,<p>m<sub>0</sub></p>,HTML
OPTION,0,<p>m<sub>7</sub></p>,HTML
OPTION,0,<p>m<sub>5</sub></p>,HTML
OPTION,1,<p>m<sub>2</sub></p>,HTML
OPTION,0,<p>m<sub>3</sub></p>,HTML
